,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct
4840,University of Wisconsin - Madison (UW),Medical Physics,1.04,2017-2018,1st,,1,2017,23675,24000,0,0,24000,Medical Physics,Other,low,325,325
4841,Massachusetts Institute of Technology (MIT),Urban Studies & Planning,1.35,2017-2018,1st,,1,2017,37680,37680,0,0,37680,Urban Studies & Planning,Other,low,0,0
4842,University of North Carolina - Chapel Hill (UNC),City & Regional Planning,1.08,2016-2017,1st,,1,2016,24000,24000,0,0,24000,City & Regional Planning,Other,low,0,0
4843,University of Illinois - Urbana- Champaign (UIUC),Electrical and Computer Engineering ,1.09,2016-2017,4th,Paid over 11 months ,4,2016,24000,24000,0,0,24000,Electrical and Computer Engineering ,Other,low,0,0
4844,University of Illinois - Urbana- Champaign (UIUC),Mechanical Engineering,1.27,2017-2018,1st,,1,2017,28000,28000,0,0,28000,Engineering,Engineering,low,0,0
4846,University of California - San Diego (UCSD),bioenginnering,1.42,2016-2017,3rd,,3,2016,37551,37551,0,0,37551,bioenginnering,Other,low,0,0
4847,University of Arkansas for Medical Sciences,PEP,1.15,2016-2017,3rd,University stipend does not include health insurance nor gym/recreation services,3,2016,24000,24000,0,0,24000,PEP,Other,low,0,0
4848,University of Connecticut (UConn),History,0.7,2017-2018,1st,,1,2017,17012,0,17812,0,17812,HistPolSoc,HistPolSoc,high,800,800
4849,University of Arkansas for Medical Sciences,Pharmaceutical sciences,1.15,2017-2018,4th,,4,2017,24000,24000,0,0,24000,Pharmaceutical sciences,Other,low,0,0
4850,University of Arkansas for Medical Sciences,Pharmacy Practice/Pharmaceutical Sciences,1.15,2017-2018,3rd,,3,2017,24000,24000,0,0,24000,Pharmacy Practice/Pharmaceutical Sciences,Other,low,0,0
4851,New York University (NYU),Biology,1.28,2016-2017,4th,,4,2016,38000,38000,0,0,38000,Biology,Biology,low,0,0
4852,Cornell University (CU),Physics,1.39,2017-2018,1st,,1,2017,33623,0,28817,4806,33623,PhysicsAndAstronomy,PhysicsAndAstronomy,high,0,0
4853,Yale University (YU),Physics,1.4,2017-2018,1st,,1,2017,34550,34550,0,0,34550,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0
4854,University of Oregon (UO),Biology,1.23,2017-2018,1st,,1,2017,25820,26000,0,0,26000,Biology,Biology,low,180,180
4855,University of Rochester (UR),School of education ,0.21,2017-2018,1st,,1,2017,4500,4500,0,0,4500,School of education ,Other,low,0,0
4856,Virginia Tech,Chemistry ,1.04,2017-2018,2nd,,2,2017,21974,23774,0,0,23774,Chemistry,Chemistry,low,1800,1800
4857,Iowa State University (ISU),Kinesiology,1.13,2017-2018,1st,,1,2017,24056,0,24656,0,24656,Kinesiology,Other,high,600,600
4858,University of California - Berkeley,Haas - Management,1.37,2017-2018,1st,,1,2017,38000,38000,0,0,38000,Haas - Management,Other,low,0,0
4859,University of Michigan - Ann Arbor (UM),Ross - Strategy,1.3,2017-2018,1st,,1,2017,30000,30000,0,0,30000,Ross - Strategy,Other,low,0,0
4860,Northern Arizona University (NAU),Informatics and Computing ,0.82,2016-2017,1st,,1,2016,19200,20000,0,0,20000,Informatics and Computing ,Other,low,800,800
4864,West Virginia University (WVU),Biomedical Engineering,1.39,2016-2017,1st,,1,2016,30960,30960,0,0,30960,Engineering,Engineering,low,0,0
4867,University of Hawaii - Manoa (UH),Psychology,0.7,2016-2017,4th,18226 after taxes,4,2016,21278,22178,0,0,22178,HistPolSoc,HistPolSoc,low,900,900
4868,Northwestern University (NU),Psychology,1.22,2016-2017,3rd,"Sometimes taxed, sometimes not.",3,2016,29550,29880,0,0,29880,HistPolSoc,HistPolSoc,low,330,330
4869,Iowa State University (ISU),Animal Science,1.19,2017-2018,1st,100% tuition payment ,1,2017,25200,25200,0,0,25200,Animal Science,Other,low,0,0
4870,University of Pittsburgh,Psychology,0.1,2017-2018,2nd,"Health insurance is included. We only pay vision and dental insurance  ~$30 per month 

Every semester we pay $30 required fees",2,2017,2170,2200,0,0,2200,HistPolSoc,HistPolSoc,low,30,30
4871,University of Tennessee - Knoxville,Microbiology,0.85,2017-2018,1st,,1,2017,18000,20000,0,0,20000,Biology,Biology,low,2000,2000
4874,Arizona State University (ASU),Computer Science,1.32,2017-2018,2nd,,2,2017,29200,0,20000,13200,33200,MathematicsAndComputer Science,MathematicsAndComputer Science,high,4000,4000
4875,University of Wisconsin - Madison (UW),Pharmacology,1.18,2017-2018,1st,,1,2017,27000,28000,0,0,28000,Medical,Medical,low,1000,1000
4876,Ohio State University (OSU),CSE,1.1,2017-2018,4th,,4,2017,22080,23880,0,0,23880,CSE,Other,low,1800,1800
4877,Johns Hopkins University (JHU),Neuroscience,1.24,2017-2018,1st,,1,2017,32000,32000,0,0,32000,Medical,Medical,low,0,0
4878,University of Texas - Dallas (UTD),Cognition and Neuroscience ,1.08,2017-2018,2nd,,2,2017,23333,23333,0,0,23333,Cognition and Neuroscience ,Other,low,0,0
